ID,Stakeholder,Insurer,Value Created,Sahreholding pattern,City,Brokers,Premium,Date,Premium,Profitability,Cost ratio,Assets under management,Educational qualifications,People,Policy tenuer ,Gender,Age 
3089,Investors,Lives cover,305661,Promotors,Pune,Sheela,New premium,3/1/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3091,Investors,Lives cover,310578,Promotors,Pune,Rita,New premium,3/2/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3092,Investors,Lives cover,315495,Promotors,Pune,Mina,New premium,3/3/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3094,Investors,Lives cover,320411,Promotors,Pune,Rushi,New premium,3/4/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3095,Investors,Lives cover,325328,Promotors,Pune,Krishna,New premium,3/5/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3097,Investors,Lives cover,330244,Promotors,Pune,Gita,New premium,3/6/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3098,Investors,Lives cover,335161,Promotors,Pune,Puja,New premium,3/7/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3100,Investors,Lives cover,340077,Promotors,Pune,Sheela,New premium,3/8/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3101,Investors,Lives cover,344994,Promotors,Pune,Rita,New premium,3/9/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3103,Investors,Lives cover,349911,Promotors,Pune,Mina,New premium,3/10/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3104,Investors,Lives cover,354827,Promotors,Pune,Rushi,New premium,3/11/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3106,Investors,Lives cover,359744,Retail,Pune,Krishna,New premium,3/12/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3107,Investors,Lives cover,364660,Retail,Pune,Gita,New premium,3/13/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3109,Investors,Lives cover,369577,Retail,Pune,Rushi,New premium,3/14/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3110,Investors,Lives cover,374493,Retail,Pune,Krishna,New premium,3/15/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3112,Investors,Lives cover,379410,Retail,Pune,Gita,New premium,3/16/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3113,Investors,Lives cover,384327,Retail,Pune,Puja,New premium,3/17/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3115,Investors,Lives cover,389243,Retail,Pune,Sheela,New premium,3/18/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3116,Investors,Lives cover,394160,Retail,Pune,Rita,New premium,3/19/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3118,Investors,Lives cover,399076,Retail,Pune,Mina,New premium,3/20/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3119,Investors,Lives cover,403993,Retail,Pune,Rushi,New premium,3/21/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3121,Investors,Lives cover,408909,Retail,Pune,Krishna,New premium,3/22/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3122,Investors,Lives cover,413826,Retail,Pune,Gita,New premium,3/23/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3124,Investors,Lives cover,418743,Retail,Pune,Puja,New premium,3/24/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3125,Investors,Lives cover,423659,Retail,Pune,Sheela,New premium,3/25/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3127,Investors,Lives cover,428576,Retail,Pune,Rita,New premium,3/26/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3128,Investors,Lives cover,433492,Retail,Pune,Mina,New premium,3/27/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3130,Investors,Lives cover,438409,Retail,Pune,Rushi,New premium,3/28/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3131,Investors,Lives cover,443325,Retail,Pune,Krishna,New premium,3/29/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3133,Investors,Lives cover,448242,Retail,Pune,Gita,New premium,3/30/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3134,Investors,Lives cover,453159,Retail,Pune,Puja,New premium,3/31/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3136,Investors,Lives cover,458075,Retail,Pune,Sheela,New premium,4/1/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3137,Investors,Lives cover,462992,Retail,Pune,Rita,New premium,4/2/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3139,Investors,Lives cover,467908,Retail,Pune,Mina,New premium,4/3/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3140,Investors,Lives cover,472825,Retail,Pune,Rushi,New premium,4/4/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3142,Investors,Lives cover,477741,Retail,Pune,Krishna,New premium,4/5/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3143,Investors,Lives cover,482658,Retail,Pune,Gita,New premium,4/6/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3145,Investors,Lives cover,487575,Retail,Pune,Rushi,New premium,4/7/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3146,Investors,Lives cover,492491,Retail,Pune,Krishna,New premium,4/8/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3148,Investors,Lives cover,497408,Retail,Pune,Gita,New premium,4/9/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3149,Investors,Lives cover,502324,Retail,Pune,Puja,New premium,4/10/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3151,Investors,Lives cover,507241,Retail,Pune,Sheela,New premium,4/11/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3152,Investors,Lives cover,512157,Retail,Pune,Rita,New premium,4/12/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3154,Investors,Lives cover,517074,Retail,Pune,Mina,New premium,4/13/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3155,Investors,Lives cover,521991,Retail,Pune,Rushi,New premium,4/14/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3157,Investors,Lives cover,526907,Retail,Pune,Krishna,New premium,4/15/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3158,Investors,Lives cover,531824,Retail,Pune,Gita,New premium,4/16/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3160,Investors,Lives cover,536740,Retail,Pune,Puja,New premium,4/17/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3161,Investors,Lives cover,541657,Retail,Pune,Sheela,New premium,4/18/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3163,Investors,Lives cover,546573,Retail,Pune,Rita,New premium,4/19/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3164,Investors,Lives cover,551490,Retail,Pune,Mina,New premium,4/20/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3166,Investors,Lives cover,556407,Retail,Pune,Rushi,New premium,4/21/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3167,Investors,Lives cover,561323,Retail,Pune,Krishna,New premium,4/22/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3169,Investors,Lives cover,566240,Retail,Pune,Gita,New premium,4/23/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3170,Investors,Lives cover,571156,Retail,Pune,Puja,New premium,4/24/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3172,Investors,Lives cover,576073,Retail,Pune,Sheela,New premium,4/25/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3173,Investors,Lives cover,580989,Retail,Pune,Rita,New premium,4/26/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3175,Investors,Lives cover,585906,Retail,Pune,Mina,New premium,4/27/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3176,Investors,Lives cover,590823,Retail,Pune,Rushi,New premium,4/28/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3178,Investors,Lives cover,595739,Retail,Pune,Krishna,New premium,4/29/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3179,Investors,Lives cover,600656,Retail,Pune,Gita,New premium,4/30/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3181,Investors,Lives cover,605572,Retail,Pune,Rushi,New premium,5/1/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3182,Investors,Lives cover,610489,Retail,Pune,Krishna,New premium,5/2/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3184,Investors,Lives cover,615405,Retail,Pune,Gita,New premium,5/3/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3185,Investors,Lives cover,620322,Retail,Pune,Puja,New premium,5/4/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3187,Investors,Lives cover,625239,Retail,Pune,Sheela,New premium,5/5/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3188,Investors,Lives cover,630155,Retail,Pune,Rita,New premium,5/6/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3190,Investors,Lives cover,635072,Retail,Pune,Mina,New premium,5/7/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3191,Investors,Lives cover,639988,Retail,Pune,Rushi,New premium,5/8/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3193,Investors,Lives cover,644905,Retail,Pune,Krishna,New premium,5/9/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3194,Investors,Lives cover,649821,Retail,Pune,Gita,New premium,5/10/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3196,Investors,Lives cover,654738,Retail,Pune,Puja,New premium,5/11/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3197,Investors,Lives cover,659655,Retail,Pune,Sheela,New premium,5/12/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3199,Investors,Lives cover,664571,Retail,Pune,Rita,New premium,5/13/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3200,Investors,Lives cover,669488,Retail,Pune,Mina,New premium,5/14/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3202,Investors,Lives cover,674404,Retail,Pune,Rushi,New premium,5/15/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3203,Investors,Lives cover,679321,Retail,Pune,Krishna,New premium,5/16/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3205,Investors,Lives cover,684237,Retail,Pune,Gita,New premium,5/17/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3206,Investors,Lives cover,689154,Retail,Pune,Puja,New premium,5/18/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3208,Investors,Lives cover,694071,Retail,Pune,Sheela,New premium,5/19/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3209,Investors,Lives cover,698987,Retail,Pune,Rita,New premium,5/20/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3211,Investors,Lives cover,703904,Retail,Pune,Mina,New premium,5/21/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3212,Investors,Lives cover,708820,Retail,Pune,Rushi,New premium,5/22/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3214,Investors,Lives cover,713737,Retail,Pune,Krishna,New premium,5/23/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3215,Investors,Lives cover,718653,Retail,Pune,Gita,New premium,5/24/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3217,Investors,Lives cover,723570,Retail,Pune,Rushi,New premium,5/25/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3218,Investors,Lives cover,728487,Retail,Pune,Krishna,New premium,5/26/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3220,Investors,Lives cover,733403,Retail,Pune,Gita,New premium,5/27/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3221,Investors,Lives cover,738320,Retail,Pune,Puja,New premium,5/28/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3223,Investors,Lives cover,743236,Retail,Pune,Sheela,New premium,5/29/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3224,Investors,Lives cover,748153,Retail,Pune,Rita,New premium,5/30/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3226,Investors,Lives cover,753069,Retail,Pune,Mina,New premium,5/31/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3227,Investors,Lives cover,757986,Retail,Pune,Rushi,New premium,6/1/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3229,Investors,Lives cover,762903,Retail,Pune,Krishna,New premium,6/2/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
